City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,weather Description
187,Narsaq,GL,60.9167,-46.05,16.02,73,86,9.08,overcast clouds
188,Saint-Augustin,CA,51.226,-58.6502,30.81,80,99,19.15,overcast clouds
189,Codrington,AU,-38.2667,141.9667,58.78,81,100,6.44,overcast clouds
190,Chickasha,US,35.0526,-97.9364,69.51,16,0,12.66,clear sky
191,Berlevag,NO,70.8578,29.0864,22.95,74,96,25.32,overcast clouds
192,Ciudad Bolivar,VE,8.1222,-63.5497,95.07,28,100,10.25,overcast clouds
193,Koungou,YT,-12.7336,45.2042,78.51,83,100,9.22,overcast clouds
194,Mugur-Aksy,RU,50.35,90.5,-14.69,97,100,4.36,overcast clouds
195,Chadan,RU,51.2833,91.5833,-12.93,98,94,3.09,overcast clouds
196,Dutlwe,BW,-23.9833,23.9,75.88,54,62,5.59,broken clouds
197,Khasan,RU,42.4308,130.6434,24.12,81,46,4.94,scattered clouds
198,Diapaga,BF,12.0708,1.7889,81.59,10,8,7.7,clear sky
199,Necochea,AR,-38.5473,-58.7368,84.04,38,85,9.71,overcast clouds
200,Pangnirtung,CA,66.1451,-65.7125,-16.6,76,20,5.75,few clouds
201,Hoa Binh,VN,20.8133,105.3383,53.49,94,100,2.42,overcast clouds
202,Anastasiyevskaya,RU,45.2158,37.8926,36.09,79,16,5.39,few clouds
203,Visnes,NO,59.3556,5.2242,41.05,70,75,33.38,broken clouds
204,Safaga,EG,26.7292,33.9365,64.35,47,0,17.2,clear sky
205,Ojinaga,MX,29.5667,-104.4167,68.58,25,0,0.0,clear sky
206,Yulara,AU,-25.2406,130.9889,75.04,50,0,10.36,clear sky
207,Klaksvik,FO,62.2266,-6.589,32.92,95,100,17.11,snow
208,Richards Bay,ZA,-28.783,32.0377,71.62,87,0,2.64,clear sky
209,Kozan,TR,37.4552,35.8157,43.7,94,100,5.91,overcast clouds
210,Nezhinka,RU,51.7676,55.3694,19.56,86,100,11.18,overcast clouds
211,Nome,US,64.5011,-165.4064,-9.33,77,100,10.36,overcast clouds
212,Sorland,NO,67.667,12.6934,35.46,58,100,25.1,overcast clouds
213,Leningradskiy,RU,69.3833,178.4167,-27.18,96,100,8.32,overcast clouds
214,Unity,CA,52.4501,-109.1682,34.25,99,100,7.72,overcast clouds
215,Flin Flon,CA,54.7682,-101.865,6.64,66,100,4.61,overcast clouds
216,Kamenka,RU,51.3223,42.7678,29.75,97,100,10.58,light snow
217,Weligama,LK,5.9667,80.4167,76.32,81,98,3.85,overcast clouds
218,Otradnoye,RU,59.7775,30.8181,35.87,91,100,9.17,snow
219,Valparaiso,CL,-33.0393,-71.6273,69.44,71,40,14.97,scattered clouds
220,Piacabucu,BR,-10.4056,-36.4344,82.51,68,91,12.91,overcast clouds
221,Camacha,PT,33.0833,-16.3333,63.82,82,0,10.36,clear sky
222,Naze,JP,28.3667,129.4833,58.73,87,99,12.12,overcast clouds
223,Cabra,ES,37.4725,-4.4421,54.39,66,0,3.87,clear sky
224,Lagoa,PT,39.05,-27.9833,58.69,73,1,16.17,clear sky
225,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,76,3,8.68,clear sky
226,Verkhnetulomskiy,RU,68.6073,31.7962,24.93,94,88,4.76,overcast clouds
227,Hami,CN,42.8,93.45,26.65,38,100,2.04,overcast clouds
