City_ID,City,Country,Max Temp,weather Description,Lat,Lng,Hotel Name
170,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
171,Hualmay,PE,74.66,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
175,Saint-Philippe,RE,74.79,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
176,Ishigaki,JP,69.26,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
177,Payakumbuh,ID,65.28,overcast clouds,-0.2202,100.6308,Dalimo Homestay
178,Monrovia,LR,79.9,clear sky,6.3005,-10.7969,Sunset Inn
181,Noumea,NC,82.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
182,Mildura,AU,64.36,few clouds,-34.2,142.15,Mercure Hotel Mildura
183,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
185,Guadalupe Victoria,MX,82.94,clear sky,32.2869,-115.105,Hotel Dial
190,Chickasha,US,69.51,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
193,Koungou,YT,78.51,overcast clouds,-12.7336,45.2042,Villa Netibor
199,Necochea,AR,84.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
204,Safaga,EG,64.35,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
205,Ojinaga,MX,68.58,clear sky,29.5667,-104.4167,Suites Las Palmas
206,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
208,Richards Bay,ZA,71.62,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
217,Weligama,LK,76.32,overcast clouds,5.9667,80.4167,Weligama Bay Resort
219,Valparaiso,CL,69.44,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
220,Piacabucu,BR,82.51,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
221,Camacha,PT,63.82,clear sky,33.0833,-16.3333,Hotel Porto Santo & Spa
225,Vila Franca Do Campo,PT,60.19,clear sky,37.7167,-25.4333,Pestana Bahia Praia
